log_date,asin_y4a,country,platform,y4a_nmv,y4a_unitsold,y4a_asp,direct_y4a_rank,direct_y4a_market_share,direct_asin_competitor,direct_comp_nmv,direct_comp_unitsold,direct_comp_asp,direct_comp_market_share,direct_asp_y4a_comp_pct,direct_cm_external,port_y4a_rank,port_y4a_market_share,port_asin_competitor,port_comp_nmv,port_comp_unitsold,port_comp_asp,port_comp_market_share,port_asp_y4a_comp_pct,port_cm_external,master_category,super_category,main_category,category,product_line,target_unitsold,year,month,day,weekday,dayofyear,is_weekend,is_big_sale,lag_y4a_asp_1d,lag_y4a_asp_3d,lag_y4a_asp_7d,lag_y4a_unitsold_1d,lag_y4a_unitsold_3d,lag_y4a_unitsold_7d,direct_price_gap,port_price_gap
2025-09-27,B005MHDPBW,USA,Amazon,113.0,1.0,113.0,2.0,47.08,B0CMXXZV5R,127.0,2.0,63.5,52.92,177.95,0.0,110.0,0.08,B00A21NRNO,29562.0,74.0,399.49,19.72,28.29,0.0,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,27,5,270,True,False,119.0,85.0,51.0,1.0,1.0,1.0,49.5,-286.49
2025-09-26,B005MHDPBW,USA,Amazon,119.0,1.0,119.0,2.0,47.22,B0CMXXZV5R,133.0,2.0,66.5,52.78,178.95,-1.228198654,108.0,0.07,B00A21NRNO,25947.0,65.0,399.18,16.34,29.81,-1.228198654,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,26,4,269,False,False,101.0,84.0,100.0,1.0,1.0,1.0,52.5,-280.18
2025-09-25,B005MHDPBW,USA,Amazon,101.0,1.0,101.0,2.0,45.7,B0CMXXZV5R,120.0,1.0,120.0,54.3,84.17,18.78151737,110.0,0.07,B00A21NRNO,19671.0,49.0,401.45,13.91,25.16,18.78151737,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,25,3,268,False,False,85.0,92.0,69.0,1.0,1.0,1.0,-19.0,-300.45
2025-09-24,B005MHDPBW,USA,Amazon,85.0,1.0,85.0,2.0,44.04,B0CMXXZV5R,108.0,1.0,108.0,55.96,78.7,9.055975575,113.0,0.06,B00A21NRNO,20082.0,50.0,401.64,13.44,21.16,9.055975575,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,24,2,267,False,False,84.0,62.5,53.0,1.0,2.0,1.0,-23.0,-316.64
2025-09-23,B005MHDPBW,USA,Amazon,84.0,1.0,84.0,2.0,44.21,B0CMXXZV5R,106.0,1.0,106.0,55.79,79.25,-0.933867277,114.0,0.06,B00A21NRNO,19343.0,43.0,449.84,12.93,18.67,-0.933867277,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,23,1,266,False,False,92.0,51.0,48.0,1.0,1.0,1.0,-22.0,-365.84
2025-09-22,B005MHDPBW,USA,Amazon,92.0,1.0,92.0,2.0,44.88,B0CMXXZV5R,113.0,1.0,113.0,55.12,81.42,9.13411211,117.0,0.06,B09FYTG37V,16874.0,130.0,129.8,10.83,70.88,9.13411211,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,0.6931471805599453,2025,9,22,0,265,False,False,62.5,100.0,74.0,2.0,1.0,1.0,-21.0,-37.80000000000001
2025-09-21,B005MHDPBW,USA,Amazon,125.0,2.0,62.5,2.0,45.96,B0CMXXZV5R,147.0,2.0,73.5,54.04,85.03,-0.599367268,116.0,0.06,B09FYTG37V,23340.0,180.0,129.67,11.27,48.2,-0.599367268,Indoor Equipment,Strength Training,Upper body exercises,Dumbbells,Adjustable Dumbbells,1.0986122886681096,2025,9,21,6,264,True,False,51.0,69.0,74.0,1.0,1.0,1.0,-11.0,-67.16999999999999
2025-09-27,B0061Z84AG,USA,Amazon,190.0,9.0,21.11,2.0,18.83,B0731G364H,584.0,39.0,14.97,57.88,141.02,-4.073333333,88.0,0.27,B0731DWW5K,3485.0,115.0,30.3,4.95,69.67,-4.073333333,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.302585092994046,2025,9,27,5,270,True,False,21.78,21.08,21.82,9.0,12.0,17.0,6.139999999999999,-9.190000000000001
2025-09-26,B0061Z84AG,USA,Amazon,196.0,9.0,21.78,2.0,18.83,B0731G364H,600.0,40.0,15.0,57.64,145.2,1.845608612,83.0,0.28,B0731DWW5K,3693.0,122.0,30.27,5.2,71.95,1.845608612,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.302585092994046,2025,9,26,4,269,False,False,21.8,21.08,22.4,10.0,12.0,10.0,6.780000000000001,-8.489999999999998
2025-09-25,B0061Z84AG,USA,Amazon,218.0,10.0,21.8,2.0,20.2,B0731G364H,601.0,40.0,15.03,55.7,145.04,-4.351418874,76.0,0.29,B0731FCS7T,6136.0,186.0,32.99,8.15,66.08,-4.351418874,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.3978952727983707,2025,9,25,3,268,False,False,21.08,20.92,22.63,12.0,12.0,8.0,6.770000000000001,-11.190000000000001
2025-09-24,B0061Z84AG,USA,Amazon,253.0,12.0,21.08,2.0,22.81,B0731G364H,596.0,40.0,14.9,53.74,141.48,-7.361349083,71.0,0.37,B0731DWW5K,3649.0,120.0,30.41,5.36,69.32,-7.361349083,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.5649493574615367,2025,9,24,2,267,False,False,21.08,22.07,22.17,12.0,14.0,6.0,6.179999999999998,-9.330000000000002
2025-09-23,B0061Z84AG,USA,Amazon,253.0,12.0,21.08,2.0,22.61,B0731G364H,598.0,40.0,14.95,53.44,141.0,4.619799604,70.0,0.38,B0731DWW5K,3671.0,121.0,30.34,5.44,69.48,4.619799604,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.5649493574615367,2025,9,23,1,266,False,False,20.92,21.82,23.0,12.0,17.0,5.0,6.129999999999999,-9.260000000000002
2025-09-22,B0061Z84AG,USA,Amazon,251.0,12.0,20.92,2.0,21.58,B0731G364H,631.0,42.0,15.02,54.26,139.28,1.821779556,78.0,0.35,B0731DWW5K,3796.0,125.0,30.37,5.34,68.88,1.821779556,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.5649493574615367,2025,9,22,0,265,False,False,22.07,22.4,23.4,14.0,10.0,5.0,5.900000000000002,-9.45
2025-09-21,B0061Z84AG,USA,Amazon,309.0,14.0,22.07,2.0,22.28,B0731G364H,764.0,51.0,14.98,55.08,147.33,7.392249414,73.0,0.36,B0731DWW5K,4512.0,149.0,30.28,5.21,72.89,7.392249414,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.70805020110221,2025,9,21,6,264,True,False,21.82,22.63,21.12,17.0,8.0,17.0,7.09,-8.21
2025-09-27,B0061ZLTYY,USA,Amazon,269.0,13.0,20.69,2.0,13.97,B0731DFTR2,1506.0,73.0,20.63,78.23,100.29,-4.513333333,68.0,0.39,B0731DWW5K,3485.0,115.0,30.3,5.0,68.28,-4.513333333,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.639057329615259,2025,9,27,5,270,True,False,21.38,20.21,21.0,13.0,19.0,26.0,0.060000000000002274,-9.61
2025-09-26,B0061ZLTYY,USA,Amazon,278.0,13.0,21.38,2.0,13.58,B0731DFTR2,1622.0,78.0,20.79,79.24,102.84,13.57995144,62.0,0.4,B0731DWW5K,3693.0,122.0,30.27,5.26,70.63,13.57995144,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.639057329615259,2025,9,26,4,269,False,False,21.33,20.37,21.38,15.0,19.0,16.0,0.5899999999999999,-8.89
2025-09-25,B0061ZLTYY,USA,Amazon,320.0,15.0,21.33,2.0,15.07,B0731DFTR2,1664.0,80.0,20.8,78.38,102.55,5.167737315,54.0,0.43,B0731FCS7T,6136.0,186.0,32.99,8.24,64.66,5.167737315,Indoor Equipment,Strength Training,Lower body exercises,Kettlebells,Standard Kettlebells,2.772588722239781,2025,9,25,3,268,False,False,20.21,20.71,21.54,19.0,14.0,13.0,0.5299999999999976,-11.660000000000004
